webtoon_id,title,genre,episodes,Created_by,view,subscribe,grade,released_date,likes
1218,Let's Play,Romance,171,Leeanne M. Krecic (Mongie),606.5M,4.6M,9.59,"Nov 6, 2017",37.2M
1436,True Beauty,Romance,197,Yaongyi,874M,7M,9.53,"Aug 15, 2018",46.2M
2135,The Remarried Empress,Fantasy,110,,231.3M,2.5M,9.87,"Sep 5, 2020",21.2M
1798,Midnight Poppy Land,Romance,99,Lilydusk,198.8M,2.3M,9.8,"Nov 22, 2019",13.5M
3416,Reunion,Romance,9,stephattyy,7.1M,629872,9.77,"Mar 17, 2022",570151
2677,Teenage Mercenary,Action,48,,40.8M,1M,9.86,"Jun 29, 2021",3.7M
2921,Sixth Sense Kiss,Romance,48,,33.1M,772769,9.75,"Jun 18, 2021",3M
986,I Love Yoo,Drama,186,Quimchee,552.2M,4.5M,9.76,"Jun 30, 2017",32.2M
1364,Age Matters,Romance,156,Enjelicious,374.9M,3.6M,9.79,"Apr 21, 2018",27.4M
2684,Get Schooled,Drama,53,,28.7M,777241,9.8,"May 15, 2021",3.1M
3272,Fictional Skin,Drama,3,Kris Nguyen,942287,101913,9.83,"May 1, 2022",73586
3484,Perfect Marriage Revenge,Romance,31,,17.4M,626282,9.64,"Oct 16, 2021",1.8M
1513,Acception,Drama,200,Colourbee,138M,826404,9.02,"Jan 14, 2019",12.2M
1536,Edith,Romance,110,Swansgarden,109.2M,1.3M,9.69,"Feb 10, 2019",9.9M
3591,Wished You Were Dead,Drama,27,,10.9M,537851,9.11,"Nov 12, 2021",1.2M
3691,The RUNWAY,Romance,23,,10.5M,487910,9.43,"Dec 15, 2021",873929
3993,My Reason to Die,Romance,3,YUJU,796463,129205,9.64,"May 2, 2022",65470
1621,Purple Hyacinth,Mystery,121,,93.8M,1.5M,9.91,"May 20, 2019",11.4M
3438,Double-Binded By Love,Romance,5,,1.7M,138815,8.21,"Apr 8, 2022",122177
1524,The Four of Them,Drama,129,Mai Hirschfeld_,84.2M,1.1M,9.58,"Jan 27, 2019",7.4M
2009,Your Throne,Fantasy,118,SAM,106.2M,1.5M,9.81,"May 15, 2020",11.5M
2767,She's Hopeless,Drama,53,Seokwoo,31.1M,848944,9.58,"May 14, 2021",3.4M
3790,Secretary Out-of-Order,Romance,19,,9M,415837,9.06,"Jan 10, 2022",828119
1102,Boyfriend of the Dead,Comedy,361,Ushio,407.9M,2M,9.74,"Jul 14, 2017",28.3M
3363,Archie Comics:Big Ethel Energy,Drama,35,,16.3M,374158,8.68,"Sep 21, 2021",1.5M
3689,Bitten Contract,Romance,22,sungeun,7.1M,391881,9.65,"Dec 16, 2021",745089
1726,Weak Hero,Action,186,,161.2M,1.2M,9.84,"Sep 9, 2019",12.1M
4094,A Whirlwind Campus Affair,Drama,6,Uiyoung,1.3M,170627,9.51,"Apr 8, 2022",132246
2224,Love Me Knot,Romance,83,Sophia,41.9M,906246,9.34,"Sep 15, 2020",5.4M
1049,Lookism,Drama,385,Taejun Pak,550.5M,2.5M,9.78,"Jun 4, 2017",38.8M
3964,Another Love,Romance,11,,3.4M,264439,9.69,"Mar 11, 2022",302890
4079,The Fox Club,Romance,7,HJ. Hwang,1.4M,118943,9.08,"Apr 5, 2022",127279
3164,From a Knight to a Lady,Fantasy,40,Ink.,11.9M,441009,9.73,"Aug 14, 2021",1.6M
2534,Shotgun Boy,Thriller,62,Carnby Kim,32.5M,834795,9.82,"Mar 17, 2021",3.5M
3479,Housekeeper,Sci-fi,3,,462099,78745,9.73,"May 3, 2022",40078
1420,Odd Girl Out,Drama,308,Morangji,157.2M,873111,9.84,"Jul 12, 2018",18.2M
3596,The Greatest Estate Developer,Fantasy,26,,4.7M,220997,9.89,"Nov 20, 2021",672703
2509,Seasons of Blossom,Romance,84,,41.5M,763176,9.87,"Mar 22, 2021",5.2M
2533,To You Who Swallowed a Star,Romance,64,ARI,19.9M,477053,9.51,"Mar 7, 2021",2.8M
4161,Write to Your Heart!,Drama,3,vaguni,453289,54779,9.22,"May 3, 2022",31696
4118,Mistake,Drama,4,,527258,127368,7.82,"Apr 25, 2022",46313
2268,Viral Hit,Action,111,,42.6M,612900,9.84,"Oct 12, 2020",4.4M
1882,Lost in Translation,Drama,115,Jjolee,38.8M,616928,9.71,"Mar 12, 2020",5.9M
4115,The Tax Reaper,Drama,8,,2M,191062,9.06,"Apr 4, 2022",187269
3595,Study Group,Action,27,,6.2M,379267,9.76,"Nov 13, 2021",700255
3994,Aza,Fantasy,10,usaesae,2.3M,249848,9.75,"Mar 13, 2022",223827
4006,The Prenup,Romance,12,,2.6M,200672,8.22,"Mar 8, 2022",219843
2010,It's Mine,Thriller,155,LuckS,84.9M,1.2M,9.73,"Apr 19, 2020",9.2M
3647,Seven Years Later,Drama,4,,457402,137276,9.7,"Apr 25, 2022",50443
2395,Secret Playlist,Romance,73,2F,26.5M,615680,9.62,"Dec 24, 2020",3.6M
3345,"Date First, Love Later",Romance,36,,8.4M,320764,9.62,"Sep 14, 2021",842058
2683,Let Me Stay Over Tonight!,Romance,54,Yunana,9.9M,295933,9.1,"May 9, 2021",1.5M
3162,The Blood of the Butterfly,Fantasy,39,Remin,8.5M,422849,9.7,"Aug 20, 2021",1M
2049,"Mom, I'm Sorry",Drama,101,,38.8M,802246,9.71,"Jun 11, 2020",5.1M
3909,A Chance At Last,Romance,15,,2M,167054,9.82,"Feb 8, 2022",247377
2510,Neon Revenge,Action,43,Gisong,10.9M,364299,9.67,"Mar 9, 2021",1.6M
1435,Watermelon,Fantasy,137,Rorita,60.9M,739655,9.8,"Aug 14, 2018",5.7M
2527,Raven Saga,Fantasy,62,Chihiro Howe,7.6M,220083,9.77,"Mar 11, 2021",1.5M
1972,Before We Knew It,Romance,110,Nakano Mayaka,42.5M,701599,8.77,"Apr 11, 2020",4.2M
3387,Señorita Cometa,Mystery,8,Arechan,907967,140594,9.61,"Mar 25, 2022",114510
1264,No Longer A Heroine!,Drama,83,Maenggi Ki,21.2M,421618,9.36,"Nov 29, 2020",3M
1494,The Croaking,Fantasy,157,echorise,48.8M,596743,9.78,"Dec 7, 2018",5.9M
3477,Blue,Drama,4,kennsaty,347872,115215,9.85,"Apr 25, 2022",49334
2113,Back to You,Drama,96,Honey B,32.2M,698292,9.65,"Jul 23, 2020",4.2M
2716,Madame Outlaw,Historical,51,,7.5M,280862,9.49,"Jun 3, 2021",1.2M
3787,To Not Die,Drama,19,,2M,148643,9.65,"Jan 10, 2022",206983
3577,Flawed Almighty,Supernatural,28,,6.5M,207891,9.56,"Nov 7, 2021",682435
3093,After School Lessonsfor Unripe Apples,Drama,44,Soonkki,5.5M,168931,9.91,"Jul 17, 2021",910455
3917,Manager Kim,Action,14,,1.5M,141087,9.79,"Feb 11, 2022",181395
4117,Who's Mr. President?,Drama,4,KING Productions,335454,89103,9.88,"Apr 25, 2022",44310
2744,Woven,Fantasy,10,Lark & Wren,936952,120286,9.74,"Mar 11, 2022",136408
2467,There's Love Hidden in Lies,Romance,66,Kawai Aporo,11M,284481,7.86,"Feb 13, 2021",1.4M
3201,Unwritten Death,Romance,41,MaracuyasArt,5.6M,212329,9.65,"Aug 9, 2021",601125
3908,Daytime Star,Drama,15,,1.4M,140385,9.72,"Feb 7, 2022",200068
1445,Heir's Game,Drama,154,suspu,29.7M,295944,9.73,"Sep 10, 2018",4.2M
3210,The Spark in Your Eyes,Fantasy,41,MURO,4.2M,227865,9.7,"Aug 13, 2021",585870
3360,Romance Punch,Comedy,5,Galang Larope,267619,63116,8.95,"Apr 25, 2022",25614
1809,The Girl Downstairs,Romance,132,Songah Min,35.6M,556028,9.54,"Nov 12, 2019",3.5M
400,Space Boy,Sci-fi,317,Stephen McCranie,74.3M,432030,9.84,"Mar 5, 2015",6.9M
1623,Bad Signs,Comedy,105,Jimena Aranda,13.5M,259147,9.55,"May 31, 2019",2M
2277,Pyramid Game,Drama,66,Dalgonyak,8.3M,223307,9.6,"Feb 17, 2021",1.4M
1929,Lone,Fantasy,97,Mel0h,14.4M,313516,9.71,"Mar 13, 2020",1.9M
3089,The Nuna at Our Office,Drama,45,,4.5M,227316,9.53,"Jul 15, 2021",538447
1669,Random Chat,Drama,149,PARK EUN HYUK,24.6M,342983,9.61,"Jul 12, 2019",2.6M
3910,A DeadbEAT's Meal,Slice of life,15,CHEESE,1.2M,106241,9.18,"Feb 8, 2022",157040
2872,Ghost on the Roof,Drama,10,Klaus Scrimshaw,757994,87979,9.52,"Mar 10, 2022",90191
3600,Our Time,Drama,27,,1.8M,120561,9.7,"Nov 11, 2021",287629
2283,Fluidum,Drama,73,GirlsOnFilm,9.8M,204891,9.04,"Oct 20, 2020",1.4M
2833,"Take Me, I'm Yours",Drama,49,RoseBean,4.3M,231424,9.55,"Jun 16, 2021",480232
3092,Moonlight Beauty Parlor,Drama,44,Nawa,3.3M,167318,9.67,"Jul 16, 2021",537945
3476,Mage Again,Fantasy,32,,2M,116200,9.71,"Oct 10, 2021",280231
1578,Da Yomanville Gang,Drama,141,Jason King,18.8M,240137,9.19,"Apr 15, 2019",1.9M
2615,The World is Money and Power,Action,57,Dongwoo Han,5.4M,194294,9.64,"Apr 17, 2021",701228
3413,Savior,Fantasy,35,,2.3M,182249,9.39,"Sep 18, 2021",273082
2876,A Man's Man,Drama,49,,2.3M,99406,9.83,"Jun 16, 2021",380888
2619,The Snake and the Flower,Historical,58,Na-eum So,5.1M,222112,9.7,"Apr 16, 2021",781378
3254,Money Game,Thriller,39,Bae Jin-Soo,1.7M,73880,8.91,"Aug 23, 2021",159901
3913,Tomorrow,Drama,27,Llama,1.1M,116625,9.58,"Feb 9, 2022",135893
2968,Kidults,Slice of life,46,Hahim,2.4M,147189,9.5,"Jul 11, 2021",408557
1925,IF,Action,61,Keon Tan,4M,148206,9.06,"Mar 7, 2020",437735
1823,SOLEIL,Fantasy,102,YenKin,7.3M,242865,9.53,"Dec 10, 2019",1.1M
2955,The Sound of Another,Sci-fi,46,Thresher,3M,199719,8.6,"Jul 12, 2021",368193
2720,Of What Remains,Thriller,26,Sillvi Studios,926736,83921,9.62,"Oct 10, 2021",115305
371,Dr. Frost,Mystery,198,JongBeom Lee,38M,394757,9.8,"Dec 27, 2014",2.9M
2471,Asterion,Drama,60,NeverDraws,1.8M,99017,9.02,"Mar 6, 2021",373846
3267,CODE HELIX,Drama,37,,792668,41180,9.58,"Sep 14, 2021",128062
3246,To Be Ordinary!,Drama,35,kkanaria,1.1M,52027,9.24,"Sep 17, 2021",124286
3344,The Aftermath,Drama,35,Bongsoo,787129,64273,9.39,"Sep 18, 2021",118497
3200,Maya's World,Drama,44,Tupaikidal,1.7M,105363,9.21,"Jul 27, 2021",225489
3791,Discovering Love: A Harlequin Romance Collection,Romance,32,Various Artists,593996,60978,9.04,"Jan 23, 2022",69532
2608,The Savior's Time,Thriller,58,Song Geukjang,2.2M,128557,9.6,"Apr 12, 2021",391794
3236,She Bites!,Slice of life,36,,1M,57947,9.66,"Sep 15, 2021",163799
2186,The Makeup Remover,Romance,7,Lee Yone,100.4M,1.2M,9.64,"Sep 21, 2020",13.2M
3207,From Morning to Night,Fantasy,41,JiEun Son,1.1M,119033,9.28,"Aug 9, 2021",161424
4119,A Mark Against Thee,Drama,7,gotaeho,1.2M,44133,9.37,"Apr 10, 2022",109692
1262,Unholy Blood,Supernatural,13,Lina Im,115.6M,1.7M,9.86,"Oct 25, 2020",12.7M
3237,Whale Star: The Gyeongseong Mermaid,Drama,25,Na Yoonhee,4M,200807,9.87,"Feb 13, 2022",604220
1566,Muted,Supernatural,125,Miranda Mundt,57.2M,773107,9.72,"Mar 14, 2019",7.3M
1642,Luggage,Fantasy,54,zealforart,2.3M,81535,8.37,"Jun 10, 2019",280776
2114,To Love Your Enemy,Romance,12,Jungyoon,135.8M,1.9M,9.55,"Aug 5, 2020",12.6M
1540,Your Letter,Drama,12,Hyeon A Cho,10.6M,531876,9.93,"Feb 26, 2019",1.1M
421,Where Tangents Meet,Romance,8,instantmiso,92.4M,1.2M,9.73,"Apr 9, 2015",2.9M
961,My Dear Cold-Blooded King,Romance,28,lifelight,287M,2M,9.72,"Mar 12, 2017",15.5M
3141,The Horizon,Drama,2,JH,2.5M,191957,9.83,"Aug 28, 2021",315578
3064,My ID is Gangnam Beauty!,Drama,9,Maenggi Ki,8.7M,262400,9.46,"Sep 19, 2021",1M
2191,HEART Anthology,Heartwarming,102,,11.5M,230373,9.65,"Sep 8, 2020",1.7M
1245,Gourmet Hound,Drama,171,Leehama,106.6M,861167,9.82,"Dec 3, 2017",11.8M
485,Bastard,Thriller,11,,141.3M,1.6M,9.87,"Jun 8, 2015",7.3M
1514,SAVE ME,Drama,1,,56M,2.4M,9.87,"Jan 16, 2019",4M
2772,Tales of Greed,Thriller,7,Juin Kim,5.6M,192567,9.44,"May 14, 2021",710787
2508,She Would Never Know,Romance,5,Cafelatte,12.9M,413787,9.12,"Feb 24, 2021",1.6M
3114,My Life as a Loser,Drama,7,,5.4M,164771,9.83,"Aug 28, 2021",585662
1390,A Good Day to be a Dog,Romance,10,Lee Hey,103.3M,1.3M,9.84,"May 16, 2018",10.4M
77,The Sound of Magic: Annarasumanara,Drama,8,Ilkwon Ha,12.2M,299784,9.74,"Jun 30, 2014",808536
1005,Cherry Blossoms,Romance,7,PARK SUBONG,2.4M,162527,9.24,"Apr 14, 2017",150540
4000,Bloodhounds,Action,11,Jeong Chan,1M,56249,9.15,"Mar 8, 2022",89420
2738,See No Evil,Thriller,5,,3.2M,155171,9.47,"May 13, 2021",451507
1620,House of Stars,Fantasy,28,,5.6M,234336,9.79,"May 30, 2019",851777
1260,Life Outside the Circle,Drama,47,H-P Lehkonen,12.3M,208028,9.39,"Dec 17, 2017",1M
1265,Death's Game,Drama,7,,13.5M,329035,9.75,"Dec 29, 2020",1.5M
988,Late Bloomer,Romance,31,zealforart,15.6M,324693,9.26,"Apr 8, 2017",743596
3898,Ode to Our Youth,Comedy,7,Heenari,673953,38683,9.36,"Mar 12, 2022",68021
281,SHADOW,Superhero,12,,3.7M,182250,9.42,"Aug 26, 2014",185438
2605,If AI Ruled the World,Sci-fi,52,POGO,4M,168583,9.71,"Apr 18, 2021",592427
399,ShootAround,Drama,143,suspu,25.4M,163781,9.68,"Mar 6, 2015",1.7M
2564,Her Bucket List,Romance,7,Yellow sheep,9.3M,323178,9.7,"Jun 20, 2021",1.1M
1489,LUFF,Romance,9,Arechan,92.4M,1.2M,9.28,"Dec 10, 2018",9.1M
4012,Be Still My Heart,Sports,5,Ilkwon Ha,528034,28634,9.08,"Mar 9, 2022",57915
1246,Days of Hana,Drama,9,Seokwoo,102.5M,1.1M,9.77,"Dec 4, 2017",7.3M
685,The Strange Tales of Oscar Zahn,Fantasy,105,Tri Vuong,15M,337751,9.79,"Jun 10, 2016",1.2M
1662,Scorching Romance,Romance,11,Hongchi,45.3M,612875,9.69,"Jul 1, 2019",5.3M
425,Hooky,Fantasy,21,Míriam Bonastre Tur,99.3M,850773,9.8,"Apr 10, 2015",9.3M
1185,My Boo,Supernatural,5,Jeongseo,46.4M,886784,9.75,"Oct 1, 2017",2.9M
93,Girls of the Wild's,Action,15,,170.7M,845935,9.57,"Jun 30, 2014",7.3M
4180,Dreaming Freedom,Drama,5,2L,68513,6651,9.45,"May 4, 2022",2920
1050,Assassin Roommate,Romance,132,Monica Gallagher,71.1M,871092,9.28,"Jun 6, 2017",3.8M
1577,Spirit Fingers,Drama,17,Han Kyoung Chal,32.6M,328873,9.91,"Jun 7, 2019",5.2M
283,Kids Are All Right,Drama,56,HP56,5.8M,90461,9.75,"Aug 31, 2014",390340
1018,Dragnarok,Fantasy,25,,10.4M,360927,9.48,"May 1, 2017",441768
3116,Lilac 200%,Drama,13,Uiyoung,2M,65680,9.15,"Sep 19, 2021",320478
2410,Garden Club Detective Squad,Mystery,7,52chu,5.4M,193062,9.75,"Jan 19, 2021",1M
854,Big Jo,Romance,169,Jungle Julia,73.6M,552477,9.18,"Nov 14, 2016",5.5M
2126,Crown of Feathers,Fantasy,14,,10M,304766,9.15,"Sep 29, 2020",1.2M
2505,Dark Mortal,Drama,10,Jeonyeok Lee,9.8M,220460,9.78,"May 16, 2021",1.1M
478,Yumi's Cells,Slice of life,33,Donggeon Lee,186.2M,657413,9.77,"May 27, 2015",18.1M
1840,Yuna & Kawachan,Drama,9,Lauren Schmidt,9.9M,217819,9.72,"Jan 16, 2020",1.8M
809,Oh! Holy,Romance,9,Ahyun,139.9M,1.6M,9.7,"Oct 17, 2016",8.5M
73,THE GIRL FROM CLASS,Drama,28,PARK SUBONG,6.7M,116827,9.46,"Jun 30, 2014",353427
2506,Taste of Illness,Drama,3,Ilkwon Ha,3.2M,157017,9.83,"Mar 13, 2021",551779
2503,Dear X,Thriller,7,VANZIUN,6.4M,223133,9.55,"Apr 13, 2021",710772
2276,A Fake Affair,Romance,6,Akiko Higashimura,1.2M,43617,9.19,"Jan 2, 2022",181822
388,Friday: Forbidden Tales,Thriller,97,Bae Jin-Soo,12.6M,171706,9.18,"Feb 13, 2015",494746
99,Cheese in the Trap,Drama,20,Soonkki,152.7M,1.1M,9.71,"Jun 30, 2014",9.1M
74,Salty Studio,Romance,66,OMYO,21.3M,325893,9.69,"Jun 30, 2014",1.1M
2563,This Magical Moment,Supernatural,9,Na Yoonhee,3.8M,150060,9.45,"May 29, 2021",571292
96,The Stories of Those Around Me,Romance,60,OMYO,16.8M,250426,9.66,"Jun 30, 2014",882709
1911,Ghost Theater,Drama,7,LICO,15.6M,397968,9.77,"Feb 22, 2020",2.1M
2858,Behind the Curtain,Romance,5,dagwa,1.4M,110166,8.46,"Jul 18, 2021",175237
3483,Laras's Heart,Drama,8,Tupaikidal,1.3M,88064,9.05,"Oct 30, 2021",147143
1318,The World Where I Belong,Supernatural,71,GMOW,8.9M,325030,9.57,"Mar 7, 2018",1M
436,Under the Aegis,Fantasy,93,VIMEDDIEE,10.9M,89202,9.76,"Apr 18, 2015",551256
3235,11 of Me,Supernatural,7,,1.4M,102261,8.84,"Sep 19, 2021",197270
1947,Magic Soda Pop,Supernatural,7,Raúl Trevino,4.8M,148553,8.87,"Apr 6, 2020",659459
2384,The Masked Fables,Fantasy,54,Ebae Kim,3M,149681,9.43,"Dec 22, 2020",529820
82,About Death,Drama,6,,6.2M,134521,9.83,"Jun 30, 2014",373608
85,FAMILY MAN,Drama,42,Pillwon Jung,2.5M,37856,9.72,"Jun 30, 2014",131987
344,Winter Woods,Drama,18,,69.8M,740282,9.81,"Nov 19, 2014",3.7M
90,Magical 12th Graders,Superhero,143,,11.6M,153188,9.33,"Jun 30, 2014",568906
91,God of Bath,Comedy,8,Ilkwon Ha,5.5M,122414,9.51,"Jun 30, 2014",294611
1538,Cupid's Arrows,Romance,60,Thomas F. Zahler,3.8M,93689,9.26,"Feb 12, 2019",493499
2141,Ctrl+Z,Thriller,11,MiTi,9.4M,196493,7.85,"Jul 24, 2020",654788
1739,The Weight of Our Sky,Historical,11,,8.1M,255308,9.79,"Oct 8, 2019",1.2M
1988,WEBTOON GREENLiGHT,Fantasy,48,,16.2M,758736,9.61,"Apr 23, 2020",3.3M
81,Gepetto,Sci-fi,161,Jewon Yeon,14.6M,167326,9.78,"Jun 30, 2014",708121
2565,The Golden Spoon,Drama,6,HD3,2.4M,57090,9.13,"Jul 18, 2021",298757
2209,American Road Trip,Drama,51,,1.8M,101294,9.62,"Sep 19, 2020",341407
363,Witch Hunt,Supernatural,9,SSO PARK,19.9M,264967,9.5,"Dec 11, 2014",1M
522,Faust,Supernatural,125,Arechan,8.9M,84885,7.99,"Aug 9, 2015",589080
1475,Metaphorical HER,Drama,45,,1.3M,59001,8.96,"Nov 9, 2018",181389
561,Heroine Chic,Superhero,85,,24.6M,275905,8.92,"Oct 19, 2015",919303
350,Subtle Disaster,Drama,45,SUNGHO AN,3.4M,48064,9.4,"Nov 25, 2014",189278
100,New Normal: Class 8,Drama,328,Youngpaka,40.8M,233381,9.52,"Jun 30, 2014",2.8M
1612,Thornstone,Fantasy,128,Vicente Miranda,4.3M,77453,9.1,"Apr 25, 2019",590739
1539,Heartwired,Sci-fi,37,,2.1M,122598,9.18,"Feb 7, 2019",206972
524,Sithrah,Fantasy,97,Jason Brubaker,3.1M,50487,9.48,"Aug 17, 2015",266611
987,Power Ballad,Superhero,26,Molly Brooks,1.2M,38109,9.15,"Apr 6, 2017",102592
76,Aisopos,Drama,130,,5.5M,57974,9.73,"Jun 30, 2014",278536
391,2015: Space Series,Sci-fi,14,Various Artists,1.1M,58006,9.27,"Feb 25, 2015",65046
1481,Alice Elise,Fantasy,24,Nicky Soh,1.3M,61074,8.96,"Nov 16, 2018",133735
537,Westwood Vibrato,Drama,71,,2.8M,60669,9.67,"Sep 13, 2015",194491
1461,Caster,Action,31,,839963,49200,9.04,"Oct 4, 2018",72886
1190,Davinchibi,Fantasy,8,,1.2M,72840,8.88,"Oct 4, 2017",76914
1325,Haxor,Sci-fi,38,Walter Ostlie,1.9M,93032,9.11,"Mar 6, 2018",195013
403,All That You Are,Drama,64,Brayden Sato,1.6M,46411,9.22,"Mar 10, 2015",98892
505,City of Walls,Drama,59,,456909,19317,7.43,"Jul 12, 2015",20012
4013,No Outtakes,Romance,3,Go Sunyoung,3M,149413,9.41,"Mar 6, 2022",359061
3266,Dr. Hound,Thriller,5,Laym,1.2M,55646,9.02,"Dec 19, 2021",159218
3212,The Legendary Fossil,Drama,3,,1.6M,136035,8.7,"Mar 19, 2022",211687
3919,Love and Leashes,Romance,6,Winter,7M,231358,8.74,"Feb 10, 2022",737865
3525,Agatha,Drama,4,Dain Lee,2.6M,137097,8.93,"Oct 14, 2021",372576
4014,Mythical Errand,Fantasy,6,GGOLI,2.9M,124924,9.32,"Mar 10, 2022",287933
3670,Cierra,Romance,18,,4.2M,304644,9.56,"Dec 13, 2021",520382
2504,Beyond Virtual,Drama,50,EGA,3.2M,167540,9.18,"Apr 15, 2021",452778
2066,Nice To Meet You,Romance,68,Wishroomness,76M,1.4M,9.79,"Jun 21, 2020",7.8M
3208,Heavenly Roommates,Fantasy,32,,3.9M,216874,9.51,"Aug 10, 2021",534943
2446,Jackson's Diary,Supernatural,57,Paola Batalla,41.8M,751757,9.7,"Jan 30, 2021",4.7M
1797,Midnight Rain,Drama,89,Pani,14.7M,359538,9.09,"Dec 29, 2019",1.6M
1022,LUMINE,Fantasy,152,Emma Krogell,330M,3.1M,9.82,"May 21, 2017",19.9M
2273,Death of a Pop Star,Romance,48,Violet Karim,21.6M,566489,9.35,"Oct 23, 2020",2.4M
1454,Four Leaf,Fantasy,111,Lumaga,12.7M,232247,9.72,"Sep 28, 2018",1.7M
1881,The Shadow Prophet,Drama,41,,1.8M,91117,9.55,"Jan 25, 2020",302709
1946,In the Bleak Midwinter,Sci-fi,61,Kat,25.2M,624195,9.76,"Mar 24,2020",
1762,Unlovable Replacement,Romance,49,Nylana,76.3M,1.5M,9.77,"Nov 13, 2019",5.9M
1796,Version Day and Night,Drama,24,dewkneelight,10.4M,480349,9.52,"Nov 14, 2019",1.1M
1193,#Blessed,Drama,64,M. Victoria Robado,20M,423249,9.19,"Oct 6, 2017",1.7M
1311,The Devil is a Handsome Man,Drama,74,Hellothisisangle,31.3M,774369,9.55,"Feb 14, 2018",2.4M
1320,Lore Olympus,Romance,197,Rachel Smythe,1B,5.7M,9.71,"Mar 4, 2018",50M
2159,Suitor Armor,Fantasy,63,Purpah,77.3M,1.3M,9.76,"Sep 17, 2020",6.9M
2964,Morgana and Oz,Fantasy,23,Miyuli,20.4M,838295,9.81,"Dec 12, 2021",2.2M
1468,SubZero,Romance,139,Junepurrr,305.4M,2.8M,9.78,"Oct 21, 2018",20.5M
2606,My Gently Raised Beast,Romance,57,,60.3M,1.4M,9.81,"Apr 17, 2021",6.4M
2832,Eaternal Nocturnal,Romance,27,instantmiso,26.2M,925519,9.83,"Nov 17, 2021",2.6M
4011,The World After the Fall,Action,6,,2.7M,373066,9.79,"Apr 14, 2022",233905
2154,Omniscient Reader,Action,98,,129.5M,2.1M,9.9,"Aug 18, 2020",13M
2409,The Advanced Player ofthe Tutorial Tower,Action,71,Bangguseok Gimssi,64M,1.2M,9.52,"Jan 11, 2021",5.5M
1267,The First Night With the Duke,Fantasy,86,,82.5M,1.2M,9.65,"Nov 15, 2020",9.5M
